Record ID,Business Domain,Source System,Table Name,Field Name,Data Owner,Data Steward,Data Classification,Critical Data Element,Completeness Percent,Accuracy Percent,Consistency Flag,Duplicate Flag,GDPR Relevant,Regulation Type,Retention Policy Years,Masking Required,Access Level,Compliance Status,Audit Rating,Country,Country Latitude,Country Longitude,Audit Date,Data Quality Score,Governance Maturity Score,Compliance Risk Score,Audit Findings Count,Open Issues Count,Days Since Last Audit,Business Impact Score,Estimated Fine EUR,Remediation Cost EUR,Maturity Band,Low Governance Maturity Flag,Low Data Quality Flag,Governance-Quality Quadrant,Quality Band,Compliance Risk Band,High_or_Critical_Risk,Impact band,Estimated Fine Log,Fine Band,High Compliance Risk Flag,High Business Impact Flag,High Fine Flag,CRITICAL PRIORITY ASSET,Remediation Cost Band,Fine_to_Remediation_Ratio,ROI Band,Audit Month,Audit Freshness Band,Findings Severity Band,Open Issues Severity Band
1,Operations,Support,Shipments,Shipment_ID,Ops Director,Data Gov Team,Public,No,100.0,98.2,Yes,No,No,Internal Policy,1,No,Read,Compliant,A,Belgium,50.8503,4.3517,2025-07-13,99.2,3,14.2,1,1,176,5,0,1758,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2025-07,Fresh,Clean,Low
2,Marketing,Web_Analytics,Campaigns,Campaign_ID,Head of Growth,Marketing Analytics,Internal,No,100.0,100.0,Yes,No,No,Internal Policy,5,No,Write,At Risk,C,Spain,40.4168,-3.7038,2025-03-19,100.0,2,31.6,4,3,292,1,56842,5684,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Low Risk,False,Low Impact,10.94804836055082,Low (<€100k),False,False,False,False,Low Cost (<€10k),10.000351864883884,High ROI (10–50x),2025-03,Aging,Moderate Issues,Medium
3,IT,Data_Warehouse,Access_Logs,IP_Address,CISO,Data Gov Team,Sensitive,No,94.9,97.2,Yes,No,Yes,GDPR,10,Yes,Admin,Non-Compliant,E,Poland,52.2297,21.0122,2024-01-13,96.4,4,97.6,10,9,723,7,1115479,245405,High Maturity,False,False,Healthy,High Quality,Critical Risk,True,Medium Impact,13.924795363514255,Very High (€1M+),True,True,True,True,Very High Cost (>€150k),4.545461583912308,Moderate ROI (3–10x),2024-01,Critical,Severe Issues,High
4,Marketing,Email_Platform,Campaigns,UTM_Campaign,Marketing Lead,CRM Ops,Internal,Yes,85.8,93.1,Yes,No,No,Internal Policy,2,No,Read,At Risk,C,Poland,52.2297,21.0122,2024-03-09,90.5,1,35.3,5,1,667,4,169701,10182,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Low Risk,False,Medium Impact,12.041799236656699,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),16.666764879198585,High ROI (10–50x),2024-03,Critical,Moderate Issues,Low
5,Finance,Finance_System,Invoices,Payment_Status,Finance Director,Finance Ops,Internal,No,99.2,97.8,Yes,No,No,Internal Policy,7,No,Read,Compliant,A,Sweden,59.3293,18.0686,2025-07-22,98.7,4,13.9,1,0,167,3,0,1385,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2025-07,Fresh,Clean,Resolved
6,HR,Payroll,Payroll,Country,HR Director,Data Gov Team,Internal,No,88.1,82.5,Yes,No,No,Internal Policy,1,No,Read,At Risk,C,France,48.8566,2.3522,2024-02-28,86.8,2,35.9,5,2,677,5,167563,13405,Low Maturity,True,True,Critical (Low Quality + Low Maturity),Low Quality,Low Risk,False,Medium Impact,12.029120646821873,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),12.500037299515107,High ROI (10–50x),2024-02,Critical,Moderate Issues,Low
7,Operations,WMS,Support_Tickets,Created_Date,Ops Director,Ops BI,Internal,Yes,98.4,100.0,Yes,No,No,Internal Policy,5,No,Write,Compliant,B,Denmark,55.6761,12.5683,2025-12-17,99.3,3,23.3,1,0,19,5,0,1891,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2025-12,Fresh,Clean,Resolved
8,Sales,CRM,Orders,Discount_EUR,Head of Revenue Ops,Data Gov Team,Internal,No,91.9,99.0,Yes,Yes,No,Internal Policy,5,No,Read,At Risk,C,Netherlands,52.3676,4.9041,2025-01-22,95.9,3,47.9,2,1,348,7,268946,16137,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Medium Impact,12.502269613149494,Medium (€100k–€500k),False,True,False,False,Medium Cost (€10k–€50k),16.666418789118175,High ROI (10–50x),2025-01,Aging,Minor Issues,Low
9,Finance,Billing,GL_Entries,Entry_ID,Finance Director,Finance Ops,Internal,No,100.0,81.6,Yes,No,No,Internal Policy,7,No,Read,At Risk,B,Italy,41.9028,12.4964,2025-03-31,91.7,4,18.7,2,1,280,1,200832,12050,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,12.210228995926423,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),16.66655601659751,High ROI (10–50x),2025-03,Aging,Minor Issues,Low
10,HR,HR_System,Recruitment,Hiring_Manager,People Ops Lead,Data Gov Team,Confidential,Yes,84.8,98.4,Yes,No,Yes,GDPR,10,Yes,Write,Non-Compliant,D,Portugal,38.7223,-9.1393,2024-02-21,92.5,4,66.4,6,4,684,4,777423,93291,High Maturity,False,False,Healthy,High Quality,High Risk,True,Medium Impact,13.56374116906162,High (€500k–€1M),False,False,True,False,High Cost (€50k–€150k),8.333311895038106,Moderate ROI (3–10x),2024-02,Critical,Moderate Issues,Medium
11,Operations,Logistics,Support_Tickets,Priority,Supply Chain Lead,Ops BI,Internal,No,100.0,100.0,Yes,No,No,Internal Policy,5,No,Read,Compliant,B,France,48.8566,2.3522,2024-07-11,100.0,3,25.0,1,1,543,4,0,2064,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2024-07,Critical,Clean,Low
12,HR,Learning_LMS,Payroll,Country,People Ops Lead,HR Analytics,Confidential,No,100.0,92.4,Yes,No,No,Internal Policy,5,No,Read,At Risk,C,United Kingdom,51.5074,-0.1278,2025-04-07,96.6,3,36.2,5,2,273,3,172786,13823,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,12.05981490104058,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),12.499891485205817,High ROI (10–50x),2025-04,Aging,Moderate Issues,Low
